before  home--mobile--run1           obsFCP   190 | simFCP 1672 simLCP 2936 SI 1672 TBT 38 perf 94 | scripts after paint 1
before  home--mobile--run2           obsFCP   192 | simFCP 1664 simLCP 3743 SI 1664 TBT 40 perf 89 | scripts after paint 1
before  home--mobile--run3           obsFCP   195 | simFCP 1662 simLCP 3627 SI 1662 TBT 36 perf 89 | scripts after paint 1
before  article--mobile--run1        obsFCP   153 | simFCP 1667 simLCP 3017 SI 1667 TBT 36 perf 94 | scripts after paint 1
before  article--mobile--run2        obsFCP   176 | simFCP 1511 simLCP 2711 SI 1511 TBT 79 perf 96 | scripts after paint 1
before  article--mobile--run3        obsFCP   166 | simFCP 1665 simLCP 3734 SI 1665 TBT 35 perf 89 | scripts after paint 1
before  knowledge-hub--mobile--run1  obsFCP  1400 | simFCP 1812 simLCP 3790 SI 2690 TBT 38 perf 87 | scripts after paint 1
before  knowledge-hub--mobile--run2  obsFCP   217 | simFCP 1812 simLCP 3170 SI 1812 TBT 48 perf 92 | scripts after paint 1
before  knowledge-hub--mobile--run3  obsFCP   212 | simFCP 1811 simLCP 3168 SI 1811 TBT 39 perf 92 | scripts after paint 1
before  pricing--mobile--run1        obsFCP  1256 | simFCP 1820 simLCP 3642 SI 2649 TBT 39 perf 89 | scripts after paint 1
before  pricing--mobile--run2        obsFCP  1184 | simFCP 2320 simLCP 3812 SI 3074 TBT 101 perf 85 | scripts after paint 1
before  pricing--mobile--run3        obsFCP   183 | simFCP 1662 simLCP 3638 SI 1662 TBT 41 perf 89 | scripts after paint 1
after   home--mobile--run1           obsFCP  1201 | simFCP 1373 simLCP 3447 SI 2394 TBT 60 perf 91 | scripts after paint 1
after   home--mobile--run2           obsFCP   192 | simFCP 1362 simLCP 3437 SI 1362 TBT 38 perf 91 | scripts after paint 1
after   home--mobile--run3           obsFCP  1205 | simFCP 1368 simLCP 3482 SI 2348 TBT 57 perf 91 | scripts after paint 1
after   article--mobile--run1        obsFCP  1179 | simFCP 1370 simLCP 3347 SI 2202 TBT 42 perf 92 | scripts after paint 1
after   article--mobile--run2        obsFCP   173 | simFCP 1365 simLCP 3290 SI 1365 TBT 38 perf 92 | scripts after paint 1
after   article--mobile--run3        obsFCP   180 | simFCP 1367 simLCP 3452 SI 1367 TBT 43 perf 91 | scripts after paint 1
after   knowledge-hub--mobile--run1  obsFCP   529 | simFCP 1510 simLCP 2860 SI 1510 TBT 48 perf 95 | scripts after paint 1
after   knowledge-hub--mobile--run2  obsFCP   217 | simFCP 1514 simLCP 3495 SI 1514 TBT 42 perf 91 | scripts after paint 1
after   knowledge-hub--mobile--run3  obsFCP   220 | simFCP 1513 simLCP 2863 SI 1513 TBT 44 perf 95 | scripts after paint 1
after   pricing--mobile--run1        obsFCP   201 | simFCP 1517 simLCP 3505 SI 1517 TBT 48 perf 91 | scripts after paint 1
after   pricing--mobile--run2        obsFCP   199 | simFCP 1512 simLCP 3520 SI 1512 TBT 56 perf 90 | scripts after paint 1
after   pricing--mobile--run3        obsFCP   186 | simFCP 1510 simLCP 2864 SI 1510 TBT 45 perf 95 | scripts after paint 1
