minute,elapsedS,gc,aiState,tier,messages,jsHeapUsedMB,jsHeapTotalMB,runtimeHeapUsedMB,runtimeHeapTotalMB,nodesChrome,domNodesPage,jsEventListenersChrome,listenersNetPage,listenersAdded,listenersRemoved,documents,frames,layoutObjects,canvasElements,lacCanvas,webgl2ContextsCreated,contextLost,ioCreated,ioDisconnected,roCreated,roDisconnected,moCreated,moDisconnected,rafFired,rafP95ms,rafMaxMs,longTasksTotal
0,0,0,idle,webgl,26,8.27,13.75,8.27,13.75,1094,792,457,314,325,11,4,4,948,1,1,1,0,2,0,2,0,3,0,313,0.3,1,1
0,0,1,idle,webgl,26,6.04,7.3,6.04,7.3,1017,792,380,314,325,11,1,1,890,1,1,1,0,2,0,2,0,3,0,316,0.3,1,1
1,62,0,working,webgl,27,9.82,15.61,10.26,15.86,1046,804,868,327,560,233,1,1,898,1,1,1,0,2,0,2,0,4,0,4049,0.3,1,1
2.2,130,0,listening,webgl,31,8.85,12.61,8.85,12.61,1090,829,552,327,863,536,1,1,946,1,1,1,0,2,0,2,0,4,0,8133,0.3,1,1
3,182,0,working,webgl,32,10.44,16.61,10.83,16.61,1102,833,1060,327,1085,758,1,1,938,1,1,1,0,2,0,2,0,4,0,11245,0.3,1,1
4.2,250,0,listening,webgl,36,8.79,13.79,8.79,13.79,1134,862,552,327,1388,1061,1,1,984,1,1,1,0,2,0,2,0,4,0,15329,0.3,1,1
5,302,0,working,webgl,37,9.11,16.54,9.52,16.54,1150,866,1192,327,1610,1283,1,1,976,1,1,1,0,2,0,2,0,4,0,18448,0.3,1,1
5,302,1,working,webgl,37,7.58,8.54,7.58,8.54,1126,866,390,327,1610,1283,1,1,974,1,1,1,0,2,0,2,0,4,0,18451,0.3,1,1
6.2,370,0,listening,webgl,41,8.26,11.04,8.26,11.04,1176,895,470,327,1913,1586,1,1,1020,1,1,1,0,2,0,2,0,4,0,22529,0.3,1,1
7,422,0,working,webgl,42,10.79,17.12,10.79,17.12,1190,891,1060,327,2132,1805,1,1,1014,1,1,1,0,2,0,2,0,4,0,25643,0.3,1.5,1
8.2,490,0,listening,webgl,46,9.45,17.37,9.45,17.37,1239,928,657,327,2438,2111,1,1,1079,1,1,1,0,2,0,2,0,4,0,29737,0.3,1.5,1
9,542,0,working,webgl,47,11.14,17.87,11.14,17.87,1248,924,1522,327,2657,2330,1,1,1052,1,1,1,0,2,0,2,0,4,0,32844,0.3,2.1,1
10.2,610,0,listening,webgl,51,9.29,12.5,9.29,12.5,1299,961,1201,327,2963,2636,1,1,1117,1,1,1,0,2,0,2,0,4,0,36925,0.3,2.1,1
10.2,610,1,listening,webgl,51,8.39,9.5,8.39,9.5,1250,961,390,327,2963,2636,1,1,1082,1,1,1,0,2,0,2,0,4,0,36929,0.3,2.1,1
11,662,0,working,webgl,52,10.39,16.5,10.39,16.5,1275,957,955,327,3182,2855,1,1,1090,1,1,1,0,2,0,2,0,4,0,40050,0.3,2.1,1
12.2,730,0,listening,webgl,56,9.24,12,9.24,12,1341,994,1133,327,3488,3161,1,1,1155,1,1,1,0,2,0,2,0,4,0,44128,0.3,2.1,1
13,782,0,working,webgl,57,10.62,18.25,11.07,18.25,1349,998,1951,327,3710,3383,1,1,1128,1,1,1,0,2,0,2,0,4,0,47248,0.3,2.1,1
14.2,850,0,listening,webgl,61,10.29,13.34,10.29,13.34,1376,1027,827,327,4013,3686,1,1,1193,1,1,1,0,2,0,2,0,4,0,51335,0.3,2.1,1
15,902,0,working,webgl,62,9.85,17.2,10.33,17.2,1359,1031,856,327,4235,3908,1,1,1166,1,1,1,0,2,0,2,0,4,0,54441,0.3,2.1,1
16.2,970,0,listening,webgl,66,9.53,12.45,9.54,12.45,1416,1060,793,327,4538,4211,1,1,1231,1,1,1,0,2,0,2,0,4,0,58529,0.3,2.1,1
17,1022,0,working,webgl,67,12.42,18.2,12.42,18.2,1428,1056,1819,327,4757,4430,1,1,1204,1,1,1,0,2,0,2,0,4,0,61644,0.3,2.1,1
18.2,1090,0,listening,webgl,71,9.77,14.2,9.77,14.2,1455,1093,827,327,5063,4736,1,1,1269,1,1,1,0,2,0,2,0,4,0,65724,0.3,2.1,1
19,1142,0,working,webgl,72,10.47,17.45,10.47,17.45,1436,1089,889,327,5282,4955,1,1,1242,1,1,1,0,2,0,2,0,4,0,68845,0.3,2.1,1
20.2,1210,0,listening,webgl,76,9.74,12.7,9.74,12.7,1492,1126,793,327,5588,5261,1,1,1307,1,1,1,0,2,0,2,0,4,0,72928,0.3,2.1,1
20.2,1210,1,listening,webgl,76,8.78,9.95,8.78,9.95,1453,1126,390,327,5588,5261,1,1,1272,1,1,1,0,2,0,2,0,4,0,72932,0.3,2.1,1
21,1262,0,working,webgl,77,10.04,17.7,10.04,17.7,1479,1122,1060,327,5807,5480,1,1,1280,1,1,1,0,2,0,2,0,4,0,76046,0.3,2.1,1
22.2,1330,0,listening,webgl,81,10.45,14.23,10.45,14.23,1532,1159,861,327,6113,5786,1,1,1345,1,1,1,0,2,0,2,0,4,0,80132,0.3,2.1,1
23,1382,0,working,webgl,82,11.46,17.73,11.46,17.73,1512,1155,889,327,6332,6005,1,1,1318,1,1,1,0,2,0,2,0,4,0,83245,0.3,2.1,1
24.2,1450,0,listening,webgl,86,11.01,13.98,11.01,13.98,1570,1192,861,327,6638,6311,1,1,1383,1,1,1,0,2,0,2,0,4,0,87326,0.3,2.1,1
25,1502,0,working,webgl,87,12.68,17.73,13.23,17.98,1552,1196,955,327,6860,6533,1,1,1356,1,1,1,0,2,0,2,0,4,0,90444,0.3,2.1,1
26.2,1570,0,listening,webgl,91,10.61,14.23,10.61,14.23,1612,1225,997,327,7160,6833,1,1,1421,1,1,1,0,2,0,2,0,4,0,94529,0.3,2.1,1
27,1622,0,working,webgl,92,12.1,17.98,12.1,17.98,1589,1221,922,327,7379,7052,1,1,1394,1,1,1,0,2,0,2,0,4,0,97657,0.3,3.5,1
28.2,1690,0,listening,webgl,96,10.23,13.23,10.23,13.23,1649,1258,963,327,7685,7358,1,1,1459,1,1,1,0,2,0,2,0,4,0,101741,0.3,3.5,1
29,1742,0,working,webgl,97,11.69,17.98,11.69,17.98,1626,1254,889,327,7904,7577,1,1,1432,1,1,1,0,2,0,2,0,4,0,104848,0.3,3.5,1
30,1802,0,blocked,webgl,99,9.87,12.23,9.87,12.23,1630,1279,391,327,8069,7742,1,1,1451,1,1,1,0,2,0,2,0,4,0,108441,0.3,3.5,1
30,1802,1,blocked,webgl,99,9.21,10.48,9.21,10.48,1630,1279,391,327,8069,7742,1,1,1451,1,1,1,0,2,0,2,0,4,0,108446,0.3,3.5,1
