routes: 12, widths: 320,375,768
[375] app-events 200 3086ms 
[320] app-events 200 3272ms 
[768] app-events 200 4008ms 
[320] app-events-matrix 200 1214ms 
[375] app-events-matrix 200 1440ms 
[768] app-events-matrix 200 1214ms 
[320] app-events-explorer 200 1235ms 
[375] app-events-explorer 200 1426ms 
[768] app-events-explorer 200 1449ms 
[320] app-events-test-lab 200 1209ms 
[375] app-events-test-lab 200 1655ms 
[768] app-events-test-lab 200 1440ms 
[320] app-data-quality 200 1216ms 
[375] app-data-quality 200 1363ms 
[320] app-revenue-leaks 200 1228ms 
[768] app-data-quality 200 1497ms 
[320] app-consent 200 1271ms 
[375] app-revenue-leaks 200 2280ms 
[768] app-revenue-leaks 200 1734ms 
[320] app-releases 200 1179ms 
[320] app-billing 200 1158ms 
[768] app-consent 200 2332ms 
[375] app-consent 200 2626ms 
[320] app-usage 200 1168ms 
[320] app-team 200 1206ms 
[768] app-releases 200 2197ms 
[375] app-releases 200 2225ms 
[320] app-settings 200 1192ms 
[768] app-billing 200 1750ms 
[375] app-billing 200 1808ms 
[768] app-usage 200 1448ms 
[375] app-usage 200 1621ms 
[768] app-team 200 2076ms 
[375] app-team 200 2453ms 
[768] app-settings 200 1764ms 
[375] app-settings 200 1639ms 
done in 24s
