routes: 18, widths: 320,375,768,1024,1440,1920
[320] en-home 200 1482ms 
[320] de-home 200 1771ms 
[320] fr-home 200 1544ms 
[768] en-home 200 5616ms 
[320] es-home 200 1550ms 
[375] en-home 200 7865ms 
[320] it-home 200 2828ms 
[320] nl-home 200 2081ms 
[768] de-home 200 6692ms 
[320] en-pricing 200 1570ms 
[320] de-pricing 200 2218ms 
[375] de-home 200 8064ms 
[320] fr-pricing 200 2050ms 
[768] fr-home 200 6666ms 
[320] nl-pricing 200 2065ms 
[375] fr-home 200 4564ms 
[320] en-knowledge-article-consent-mode-v2-guide 200 1557ms 
[320] de-knowledge-article-consent-mode-v2-guide 200 1631ms 
[320] app-overview 200 2565ms 
[768] es-home 200 6500ms 
[375] es-home 200 5220ms 
[320] app-ai-setup 200 2007ms 
[320] app-destinations 200 2839ms 
[375] it-home 200 5596ms 
[320] app-consent-simulator 200 2015ms 
[768] it-home 200 7294ms 
[320] app-attribution 200 2128ms 
[375] nl-home 200 4630ms 
[320] app-alerts 200 2246ms 
[1024] en-home 200 2587ms 
[768] nl-home 200 6524ms 
[1024] de-home 200 2182ms 
[375] en-pricing 200 9254ms 
[1024] fr-home 200 4283ms 
[768] en-pricing 200 7072ms 
[1024] es-home 200 2814ms 
[1024] it-home 200 3034ms 
[768] de-pricing 200 7138ms 
[375] de-pricing 200 9167ms 
[1024] nl-home 200 3292ms 
[1024] en-pricing 200 3231ms 
[375] fr-pricing 200 4692ms 
[768] fr-pricing 200 6091ms 
[1024] de-pricing 200 2835ms 
[375] nl-pricing 200 4640ms 
[1024] fr-pricing 200 4456ms 
[768] nl-pricing 200 6257ms 
[1024] nl-pricing 200 3268ms 
[375] en-knowledge-article-consent-mode-v2-guide 200 6815ms 
[1024] en-knowledge-article-consent-mode-v2-guide 200 2570ms 
[768] en-knowledge-article-consent-mode-v2-guide 200 7377ms 
[1024] de-knowledge-article-consent-mode-v2-guide 200 2514ms 
[1024] app-overview 200 2751ms 
[375] de-knowledge-article-consent-mode-v2-guide 200 8264ms 
[1024] app-ai-setup 200 5288ms 
[1024] app-destinations 200 2325ms 
[768] de-knowledge-article-consent-mode-v2-guide 200 11006ms 
[1024] app-consent-simulator 200 2500ms 
[375] app-overview 200 7997ms 
[768] app-overview 200 3201ms 
[1024] app-attribution 200 2536ms 
[768] app-ai-setup 200 6358ms 
[1024] app-alerts 200 5534ms 
[375] app-ai-setup 200 7987ms 
[768] app-destinations 200 2588ms 
[375] app-destinations 200 3602ms 
[768] app-consent-simulator 200 5532ms 
[375] app-consent-simulator 200 5905ms 
[768] app-attribution 200 3067ms 
[768] app-alerts 200 2768ms 
[375] app-attribution 200 3999ms 
[1440] en-home 200 14686ms 
[375] app-alerts 200 5703ms 
[1920] en-home 200 13487ms 
[1440] de-home 200 16601ms 
[1920] de-home 200 13911ms 
[1440] fr-home 200 11782ms 
[1920] fr-home 200 13490ms 
[1440] es-home 200 11974ms 
[1440] it-home 200 11957ms 
[1920] es-home 200 13326ms 
[1440] nl-home 200 12391ms 
[1920] it-home 200 13911ms 
[1440] en-pricing 200 16560ms 
[1920] nl-home 200 14933ms 
[1920] en-pricing 200 14700ms 
[1440] de-pricing 200 16047ms 
[1440] fr-pricing 200 12065ms 
[1920] de-pricing 200 13351ms 
[1440] nl-pricing 200 12491ms 
[1920] fr-pricing 200 14409ms 
[1440] en-knowledge-article-consent-mode-v2-guide 200 12396ms 
[1920] nl-pricing 200 13972ms 
[1440] de-knowledge-article-consent-mode-v2-guide 200 12159ms 
[1920] en-knowledge-article-consent-mode-v2-guide 200 12051ms 
[1440] app-overview 200 8971ms 
[1440] app-ai-setup 200 9850ms 
[1920] de-knowledge-article-consent-mode-v2-guide 200 19534ms 
[1440] app-destinations 200 5111ms 
[1920] app-overview 200 5878ms 
[1920] app-ai-setup 200 7345ms 
[1920] app-destinations 200 2992ms 
[1440] app-consent-simulator 200 16187ms MAIN-OVERFLOW
[1920] app-consent-simulator 200 11694ms 
[1440] app-attribution 200 11720ms 
[1920] app-attribution 200 7741ms 
[1440] app-alerts 200 10732ms 
[1920] app-alerts 200 6509ms 
[keyboard] en-home: 40 focused, 0 without visible indicator
[keyboard] en-pricing: 40 focused, 0 without visible indicator
[keyboard] app-overview: 40 focused, 0 without visible indicator
done in 347s
